G1/S,S,G2/M,M,M/G1
Anp32b,2810417H13Rik,2700099C18Rik,2700094K13Rik,Anp32e
Apitd1,4930427A07Rik,2810417H13Rik,2700099C18Rik,Cenpq
Atad2,4930579G24Rik,4930427A07Rik,Ankle1,Cnih4
Atad5,Apitd1,4930579G24Rik,Anln,Eif4e
Brca2,Asf1b,9430015G10Rik,Anp32e,Fzr1
Casp8ap2,Atad2,Ankle1,Apobec3,G3bp1
Ccne1,Atad5,Anln,Arl6ip1,Gnb1
Ccne2,BC030867,Apobec3,Aspm,Gpsm2
Cdc25a,Brca2,Arhgap11a,Aurka,Hn1
Cdc45,Brip1,Asf1b,Birc5,Hp1bp3
Cdc6,Cbx5,Aurka,Bub1b,Ilf2
Cdca7,Ccne2,Aurkb,Bub3,Kpnb1
Cdca7l,Cdc7,BC030867,C330027C09Rik,Morf4l2
Cdk2,Cdca5,Brd8,Ccna2,Mrps18b
Cdt1,Cdk2,Bub1,Ccnb1,Mtpn
Chaf1a,Cenpi,Bub1b,Ccnb2,Nup37
Chaf1b,Cenpm,Casc5,Ccng2,Ppia
Chek1,Cenpw,Ccdc18,Cdc20,Ppp2ca
Clspn,Cep57l1,Ccna2,Cdc25b,Rae1
Dctpp1,Chek2,Ccnf,Cdc25c,Ran
Dhfr,Chtf18,Cdca2,Cdca3,Rbbp7
Dnajc9,Clspn,Cdca3,Cdca8,Sae1
Dnmt1,Dck,Cdca5,Cdkn2c,Taf9
Donson,Dctpp1,Cdca8,Cdkn2d,Traip
Dscc1,Ddx39b,Cdk1,Cdkn3,
Dtl,Dek,Cdk5rap2,Cenpa,
Dtymk,Dhfr,Cdkn2c,Cenpe,
Dut,Dnajc9,Cdkn2d,Cenpf,
E2f1,Dnmt1,Cenpl,Cenpn,
Eri1,Dock10,Cenpm,Cenpq,
Exo1,Donson,Cenpn,Cenpt,
Fen1,Dtymk,Cenpw,Cep55,
Fignl1,Dut,Cep57l1,Ckap2,
Gmnn,Dynlt1a,Cep70,Ckap2l,
Golt1b,E2f2,Chek2,Ckap5,
Hat1,E2f7,Cit,Cks2,
Hells,E2f8,Ckap2l,Cnih4,
Hspa8,Eme1,Cks1b,Dbf4,
Ivns1abp,Ercc6l,Dbf4,Depdc1a,
Lig1,Eri1,Ddx39b,Dlgap5,
Mcm10,Esco2,Dek,Ect2,
Mcm2,Ezh2,Depdc1a,Fam64a,
Mcm3,Fam111a,Dock10,Fam83d,
Mcm4,Fanci,Dynlt1a,Fzr1,
Mcm5,Fbxo5,Eme1,G2e3,
Mcm6,Fen1,Espl1,Gm6682,
Mcm7,Fignl1,Fam111a,Gpsm2,
Mms22l,Foxm1,Fbxo5,Gtse1,
Msh6,Gen1,Foxm1,H1f0,
Mybl2,Gins2,G2e3,H2afv,
Nap1l1,Gpr165,Gen1,H2afx,
Ncapg2,Gsg2,Gpr165,H2afz,
Nup188,Hist1h1b,Gsg2,H3f3b,
Nup43,Hist1h1e,Gtse1,Hist1h2bg,
Pask,Hist1h2an,H2afv,Hmgn2,
Pcna,Hist1h2ao,H2afx,Hmmr,
Pola1,Hist1h4d,H2afz,Hn1,
Pold1,Hist2h2ac,H3f3b,Hp1bp3,
Pole,Ivns1abp,Hist1h1b,Ilf3,
Prim1,Kif18b,Hist1h1d,Incenp,
Psmc3ip,Kntc1,Hist1h1e,Kif11,
Ptma,Mastl,Hist1h2ab,Kif14,
Rad54l,Mcm10,Hist1h2ae,Kif15,
Rbbp7,Mybl2,Hist1h2af,Kif20a,
Rfc1,Nap1l1,Hist1h2ai,Kif20b,
Rfc2,Ncapg2,Hist1h2an,Kif22,
Rfc3,Ncaph,Hist1h2ao,Kif23,
Rfc4,Ncaph2,Hist1h2bg,Kpna2,
Rpa1,Neil3,Hist1h3e,Lbr,
Rpa2,Nrm,Hist1h4d,Lmf2,
Slbp,Nsl1,Hist2h2ac,Miip,
Slc29a1,Oip5,Hist2h3b,Mis18bp1,
Slfn9,Paics,Hist2h3c2,Mki67,
Srsf7,Pkmyt1,Hjurp,Mrpl51,
St3gal5,Plk4,Hmgb1,Nde1,
Syce2,Pmf1,Hmgb2,Nek2,
Tcf19,Poc1a,Hmgn2,Nucks1,
Tfdp1,Pola1,Hyls1,Nuf2,
Timeless,Pole,Ilf3,Nup35,
Tipin,Polq,Incenp,Nup37,
Topbp1,Prim2,Iqgap3,Nusap1,
Uhrf1,Ptma,Kif11,Odf2,
Ung,Rad18,Kif15,Pbk,
Wdhd1,Rad50,Kif18b,Pif1,
,Rad51,Kif20b,Plk1,
,Rad51ap1,Kif22,Pnrc2,
,Rad54b,Kif2c,Pom121,
,Rad54l,Kif4,Ppia,
,Rbl1,Kifc1,Prc1,
,Rfc1,Kifc5b,Prr11,
,Rfc2,Kntc1,Racgap1,
,Rfc5,Kpna2,Rad21,
,Rfwd3,Lbr,Rangap1,
,Rpa1,Lmf2,Reep4,
,Rrm1,Lmnb1,Rnf26,
,Rrm2,Ly6e,Sae1,
,Skp2,Mad2l1,Sgol1,
,Slc29a1,Mdm1,Sh2d3c,
,Slc43a3,Melk,Ska1,
,Slfn9,Mis18bp1,Smc2,
,Smc1a,Mki67,Smtn,
,St3gal5,Mxd3,Spag5,
,Stmn1,Ncapd2,Sun2,
,Tcf19,Ncapd3,Suv39h1,
,Tipin,Ncapg,Tacc3,
,Tk1,Ncaph,Tpx2,
,Tubb5,Ncaph2,Traip,
,Tyms,Ndc80,Trip13,
,Ube2t,Neil3,Troap,
,Uhrf1,Nsl1,Ttk,
,Usp1,Nusap1,Tuba1b,
,Whsc1,Oip5,Tuba1c,
,Zwint,Pbk,Tubb4b,
,,Plk4,Ubb,
,,Poc1a,Ube2c,
,,Polq,Ube2s,
,,Prc1,Xkr5,
,,Prim2,,
,,Racgap1,,
,,Rad18,,
,,Rad51ap1,,
,,Rad54b,,
,,Rbl1,,
,,Rfc5,,
,,Rfwd3,,
,,Rrm1,,
,,Sass6,,
,,Selplg,,
,,Serinc3,,
,,Sgol1,,
,,Shcbp1,,
,,Ska1,,
,,Smc1a,,
,,Smc2,,
,,Smc4,,
,,Smtn,,
,,Snrpb,,
,,Spc24,,
,,Spc25,,
,,Ssna1,,
,,Stil,,
,,Stmn1,,
,,Suv39h1,,
,,Tacc3,,
,,Tk1,,
,,Tmpo,,
,,Top2a,,
,,Trim59,,
,,Trip13,,
,,Ttk,,
,,Tuba1b,,
,,Tubb5,,
,,Ubb,,
,,Ube2t,,
,,Whsc1,,
,,Xkr5,,
